"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D3,D4,D5,D6,D1";"LED_WS2812B-PLCC4_3.5x3.5";5;"SK6812";;;
2;"RV1";"Potentiometer_Bourns_PTA2043_Single_Slide";1;"R_POT";;;
3;"U2";"ESP32-WROOM-32-Espressif-Symbol-Kicad-62379";1;"ESP32-WROOM-32";;;
4;"D2";"D_SOD-123F";1;"D_Schottky";;;
5;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Mini";;;
6;"J5";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"Conn_01x02_Male";;;
7;"C1,C4";"C_0402_1005Metric";2;"0.1uF";;;
8;"C2,C3,C5";"C_0402_1005Metric";3;"10uF";;;
9;"C6,C7,C8,C9";"C_0402_1005Metric";4;"0.1u";;;
10;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
11;"R1,R2,R3,R4";"R_0402_1005Metric";4;"100";;;
12;"R5,R6,R7,R8,R9,R10,R11,R12";"R_0402_1005Metric";8;"10k";;;
13;"SW1";"SW_SPST_KXT3";1;"RESET";;;
14;"SW2";"SW_SPST_KXT3";1;"BOOT";;;
15;"SW3";"SW_SPST_KXT3";1;"PULL";;;
16;"SW4";"SW_SPST_KXT3";1;"RELEASE";;;
17;"SW5";"SW_DIP_SPSTx05_Slide_6.7x14.26mm_W8.61mm_P2.54mm_LowProfile";1;"SW_DIP_x05";;;
18;"U1";"DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm";1;"LD39200";;;
19;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"UART";;;
20;"J4";"PinSocket_1x06_P2.54mm_Vertical";1;"JTAG";;;
21;"REF**,REF**,REF**";"MountingHole_2.2mm_M2_DIN965";3;"MountingHole_2.2mm_M2_DIN965";;;
22;"G***";"R1_face_mask_5.5mm";1;"LOGO";;;
23;"G***";"R1_eyes_mask_5.5mm";1;"LOGO";;;
24;"G***";"R1_ear_silk_5.5mm";1;"LOGO";;;
