"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_WS2812B-PLCC4_3.5x3.5";1;"SK6812";;;
2;"U2";"ESP32-WROOM-32-Espressif-Symbol-Kicad-62379";1;"ESP32-WROOM-32";;;
3;"J5";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"Conn_01x02_Male";;;
4;"C1,C4";"C_0402_1005Metric";2;"0.1uF";;;
5;"C2,C3,C5";"C_0402_1005Metric";3;"10uF";;;
6;"C6";"C_0402_1005Metric";1;"0.1u";;;
7;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
8;"R10";"R_0402_1005Metric";1;"10k";;;
9;"U1";"DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm";1;"LD39200";;;
10;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"UART";;;
11;"SW1";"PTS815-SJK";1;"RESET";;;
12;"SW2";"PTS815-SJK";1;"BOOT";;;
13;"SW3";"PTS815-SJK";1;"PULL";;;
14;"SW4";"PTS815-SJK";1;"RELEASE";;;
15;"J1";"200AMA16R";1;"200AMA16R";;;
16;"J4";"tcut1350x01";1;"tcut1350";;;
17;"R1,R2,R3";"R_0402_1005Metric";3;"1k";;;
18;"H1,H2";"MountingHole_2.2mm_M2_Pad";2;"MountingHole";;;
19;"H3";"R1_ear_silk_5.5mm";1;"LABEL";;;
20;"H4";"R1_eyes_mask_5.5mm";1;"LABEL";;;
21;"H5";"R1_face_mask_5.5mm";1;"LABEL";;;
